"Genre","Release_year","sale_by_year","total_sale"
Action,2000,34.03999995999038,1532.3999960441142
Action,2001,59.390000350773335,1532.3999960441142
Action,2002,86.76999932341278,1532.3999960441142
Action,2003,67.92999989911914,1532.3999960441142
Action,2004,76.25999912619591,1532.3999960441142
Action,2005,85.68999933637679,1532.3999960441142
Action,2006,66.58000015281141,1532.3999960441142
Action,2007,106.50000062584877,1532.3999960441142
Action,2008,136.38999999687076,1532.3999960441142
Action,2009,139.35999995656312,1532.3999960441142
Action,2010,117.63999959081411,1532.3999960441142
Action,2011,118.96000018902123,1532.3999960441142
Action,2012,122.03999972343445,1532.3999960441142
Action,2013,125.21999838761985,1532.3999960441142
Action,2014,99.01999949663877,1532.3999960441142
Action,2015,70.69999982044101,1532.3999960441142
Action,2016,19.91000010818243,1532.3999960441142
Adventure,2000,2.9799999687820673,185.20999966934323
Adventure,2001,9.120000053197145,185.20999966934323
Adventure,2002,11.049999952316284,185.20999966934323
Adventure,2003,2.1400000043213367,185.20999966934323
Adventure,2004,8.699999928474426,185.20999966934323
Adventure,2005,8.529999962076545,185.20999966934323
Adventure,2006,11.470000015571713,185.20999966934323
Adventure,2007,24.470000099390745,185.20999966934323
Adventure,2008,25.020000003278255,185.20999966934323
Adventure,2009,20.679999897256494,185.20999966934323
Adventure,2010,16.5699997600168,185.20999966934323
Adventure,2011,15.980000080540776,185.20999966934323
Adventure,2012,5.990000041201711,185.20999966934323
Adventure,2013,6.609999943524599,185.20999966934323
Adventure,2014,6.059999980032444,185.20999966934323
Adventure,2015,8.029999984428287,185.20999966934323
Adventure,2016,1.8099999949336052,185.20999966934323
Fighting,2000,20.220000125467777,313.35999966971576
Fighting,2001,18.12000010162592,313.35999966971576
Fighting,2002,25.019999852404,313.35999966971576
Fighting,2003,23.730000093579292,313.35999966971576
Fighting,2004,16.780000096186996,313.35999966971576
Fighting,2005,19.720000015571713,313.35999966971576
Fighting,2006,22.550000028684735,313.35999966971576
Fighting,2007,17.610000068321824,313.35999966971576
Fighting,2008,35.37999998778105,313.35999966971576
Fighting,2009,32.14999976567924,313.35999966971576
Fighting,2010,14.890000071376562,313.35999966971576
Fighting,2011,22.679999846965075,313.35999966971576
Fighting,2012,9.509999888017774,313.35999966971576
Fighting,2013,7.209999926388264,313.35999966971576
Fighting,2014,16.14999977685511,313.35999966971576
Fighting,2015,7.780000077560544,313.35999966971576
Fighting,2016,3.8599999472498894,313.35999966971576
Misc,2000,15.540000062435865,725.6299995463341
Misc,2001,16.40000000409782,725.6299995463341
Misc,2002,15.669999938458204,725.6299995463341
Misc,2003,23.81999969109893,725.6299995463341
Misc,2004,31.32000003568828,725.6299995463341
Misc,2005,61.23999958112836,725.6299995463341
Misc,2006,67.35000022500753,725.6299995463341
Misc,2007,92.27000060305,725.6299995463341
Misc,2008,87.02999996766448,725.6299995463341
Misc,2009,76.93999966792762,725.6299995463341
Misc,2010,96.85999979265034,725.6299995463341
Misc,2011,56.08000026457012,725.6299995463341
Misc,2012,22.91999983601272,725.6299995463341
Misc,2013,25.64999981969595,725.6299995463341
Misc,2014,23.68000009842217,725.6299995463341
Misc,2015,11.689999960362911,725.6299995463341
Misc,2016,1.169999998062849,725.6299995463341
Platform,2000,16.06000016257167,497.97000052779913
Platform,2001,39.27999994158745,497.97000052779913
Platform,2002,45.9699999447912,497.97000052779913
Platform,2003,42.88999976404011,497.97000052779913
Platform,2004,47.33999993093312,497.97000052779913
Platform,2005,23.56000005826354,497.97000052779913
Platform,2006,49.79999991878867,497.97000052779913
Platform,2007,35.59000017493963,497.97000052779913
Platform,2008,35.699999978765845,497.97000052779913
Platform,2009,41.09000077471137,497.97000052779913
Platform,2010,31.900000035762787,497.97000052779913
Platform,2011,28.109999934211373,497.97000052779913
Platform,2012,18.549999745562673,497.97000052779913
Platform,2013,25.120000164955854,497.97000052779913
Platform,2014,8.89000004902482,497.97000052779913
Platform,2015,6.049999989569187,497.97000052779913
Platform,2016,2.06999995931983,497.97000052779913
Puzzle,2000,3.8200000133365393,140.50000059977174
Puzzle,2001,8.00000012665987,140.50000059977174
Puzzle,2002,5.339999932795763,140.50000059977174
Puzzle,2003,2.4200000017881393,140.50000059977174
Puzzle,2004,8.429999928921461,140.50000059977174
Puzzle,2005,20.45000020414591,140.50000059977174
Puzzle,2006,10.900000263005495,140.50000059977174
Puzzle,2007,24.00000023841858,140.50000059977174
Puzzle,2008,15.589999983087182,140.50000059977174
Puzzle,2009,20.30999987013638,140.50000059977174
Puzzle,2010,11.180000012740493,140.50000059977174
Puzzle,2011,5.109999964013696,140.50000059977174
Puzzle,2012,1.7600000277161598,140.50000059977174
Puzzle,2013,0.9899999722838402,140.50000059977174
Puzzle,2014,1.5000000558793545,140.50000059977174
Puzzle,2015,0.7000000048428774,140.50000059977174
Racing,2000,19.98999991081655,564.2699988428503
Racing,2001,55.80999919399619,564.2699988428503
Racing,2002,30.19999966584146,564.2699988428503
Racing,2003,52.1899995803833,564.2699988428503
Racing,2004,47.85999986901879,564.2699988428503
Racing,2005,56.41999980434775,564.2699988428503
Racing,2006,34.0900002438575,564.2699988428503
Racing,2007,39.169999511912465,564.2699988428503
Racing,2008,70.65999952889979,564.2699988428503
Racing,2009,34.19000026024878,564.2699988428503
Racing,2010,34.930000618100166,564.2699988428503
Racing,2011,35.01000016182661,564.2699988428503
Racing,2012,14.460000092163682,564.2699988428503
Racing,2013,13.040000202134252,564.2699988428503
Racing,2014,16.690000096336007,564.2699988428503
Racing,2015,7.920000107958913,564.2699988428503
