"Genre","sum(Global_Sales)"
Action,1532.4099960438907
Sports,1130.389995727688
Shooter,897.4599992372096
Misc,725.6299995463341
Role-Playing,724.0700012408197
Racing,564.2699988428503
Platform,497.97000052779913
Simulation,337.5999999977648
Fighting,313.35999966971576
Adventure,185.20999966934323
Puzzle,140.50000059977174
Strategy,115.99999999441206
