"Platform","Release_year","sale_by_year","total_sale"
"3DS",2011,62.529999831691384,246.27999993413687
"3DS",2012,51.13999993354082,246.27999993413687
"3DS",2013,55.88000023923814,246.27999993413687
"3DS",2014,43.13999992609024,246.27999993413687
"3DS",2015,26.98999997973442,246.27999993413687
"3DS",2016,6.600000023841858,246.27999993413687
DC,2000,5.98999996855855,7.409999970346689
DC,2001,1.0700000114738941,7.409999970346689
DC,2002,0.28999999165534973,7.409999970346689
DC,2007,0.019999999552965164,7.409999970346689
DC,2008,0.03999999910593033,7.409999970346689
DS,2004,17.45999999716878,818.6500011011958
DS,2005,131.40000050142407,818.6500011011958
DS,2006,121.15000060386956,818.6500011011958
DS,2007,149.36000120081007,818.6500011011958
DS,2008,147.890000090003,818.6500011011958
DS,2009,121.9899994507432,818.6500011011958
DS,2010,87.97999958135188,818.6500011011958
DS,2011,27.799999836832285,818.6500011011958
DS,2012,11.639999825507402,818.6500011011958
DS,2013,1.9600000139325857,818.6500011011958
DS,2014,0.019999999552965164,818.6500011011958
GB,2000,19.7600000500679,28.999999955296516
GB,2001,9.239999905228615,28.999999955296516
GBA,2000,0.05999999865889549,313.55999945290387
GBA,2001,61.61999933607876,313.55999945290387
GBA,2002,74.38000055216253,313.55999945290387
GBA,2003,56.73000026308,313.55999945290387
GBA,2004,78.08999928832054,313.55999945290387
GBA,2005,33.89999998547137,313.55999945290387
GBA,2006,5.3499999940395355,313.55999945290387
GBA,2007,3.4300000350922346,313.55999945290387
GC,2001,26.300000187009573,197.13999973796308
GC,2002,51.92999956384301,197.13999973796308
GC,2003,50.65999966301024,197.13999973796308
GC,2004,28.889999952167273,197.13999973796308
GC,2005,27.800000259652734,197.13999973796308
GC,2006,11.29000011458993,197.13999973796308
GC,2007,0.26999999769032,197.13999973796308
N64,2000,34.00999954901636,37.34999951533973
N64,2001,3.259999968111515,37.34999951533973
N64,2002,0.07999999821186066,37.34999951533973
PC,2000,4.680000038817525,205.00999963469803
PC,2001,5.510000076144934,205.00999963469803
PC,2002,8.599999917671084,205.00999963469803
PC,2003,8.959999846294522,205.00999963469803
PC,2004,10.460000105202198,205.00999963469803
PC,2005,4.469999995082617,205.00999963469803
PC,2006,2.96999997459352,205.00999963469803
PC,2007,9.400000143796206,205.00999963469803
PC,2008,12.669999970123172,205.00999963469803
PC,2009,17.159999622032046,205.00999963469803
PC,2010,24.459999879822135,205.00999963469803
PC,2011,35.25000002235174,205.00999963469803
PC,2012,23.5299998447299,205.00999963469803
PC,2013,12.830000018700957,205.00999963469803
PC,2014,13.390000054612756,205.00999963469803
PC,2015,8.070000113919377,205.00999963469803
PC,2016,2.600000010803342,205.00999963469803
PS,2000,96.27999989315867,140.53999988920987
PS,2001,35.52000002749264,140.53999988920987
PS,2002,6.689999956637621,140.53999988920987
PS,2003,2.050000011920929,140.53999988920987
PS2,2000,39.1100001744926,1233.4599968194962
PS2,2001,166.43000055104494,1233.4599968194962
PS2,2002,205.39999894052744,1233.4599968194962
PS2,2003,184.2899995483458,1233.4599968194962
PS2,2004,211.77999927476048,1233.4599968194962
PS2,2005,160.6499986089766,1233.4599968194962
PS2,2006,103.41999939084053,1233.4599968194962
PS2,2007,76.00000039115548,1233.4599968194962
PS2,2008,53.82999977655709,1233.4599968194962
PS2,2009,26.450000213459134,1233.4599968194962
PS2,2010,5.62999995239079,1233.4599968194962
PS2,2011,0.46999999694526196,1233.4599968194962
PS3,2006,21.069999877363443,949.3499979004264
PS3,2007,73.8099992889911,949.3499979004264
PS3,2008,119.68999975919724,949.3499979004264
PS3,2009,132.34000033698976,949.3499979004264
PS3,2010,144.41999934986234,949.3499979004264
PS3,2011,159.36999994702637,949.3499979004264
PS3,2012,109.48999951034784,949.3499979004264
PS3,2013,117.38999990560114,949.3499979004264
PS3,2014,50.96000015363097,949.3499979004264
PS3,2015,18.219999812543392,949.3499979004264
PS3,2016,2.589999958872795,949.3499979004264
PS4,2013,24.760000124573708,278.069999711588
PS4,2014,98.76000013388693,278.069999711588
PS4,2015,115.29999971576035,278.069999711588
PS4,2016,39.249999737367034,278.069999711588
PSP,2004,7.130000026896596,291.70999942719936
PSP,2005,44.229999931529164,291.70999942719936
PSP,2006,55.850000232458115,291.70999942719936
PSP,2007,47.47999990731478,291.70999942719936
PSP,2008,34.67999997921288,291.70999942719936
PSP,2009,38.06999975256622,291.70999942719936
PSP,2010,35.109999706968665,291.70999942719936
PSP,2011,17.889999901875854,291.70999942719936
PSP,2012,7.719999995082617,291.70999942719936
PSP,2013,3.189999993890524,291.70999942719936
PSP,2014,0.24000000208616257,291.70999942719936
PSP,2015,0.11999999731779099,291.70999942719936
PSV,2011,5.150000078603625,61.6099999435246
PSV,2012,18.52999996393919,61.6099999435246
PSV,2013,12.689999982714653,61.6099999435246
PSV,2014,14.739999953657389,61.6099999435246
PSV,2015,7.099999958649278,61.6099999435246
PSV,2016,3.4000000059604645,61.6099999435246
Wii,2006,137.90999837592244,909.8099973648787
Wii,2007,154.96999951079488,909.8099973648787
Wii,2008,174.1599988359958,909.8099973648787
Wii,2009,210.44000063091516,909.8099973648787
Wii,2010,131.79999999143183,909.8099973648787
Wii,2011,62.41000016964972,909.8099973648787
Wii,2012,22.769999952986836,909.8099973648787
Wii,2013,9.359999937936664,909.8099973648787
Wii,2014,4.439999923110008,909.8099973648787
Wii,2015,1.550000036135316,909.8099973648787
WiiU,2012,17.840000042691827,81.86000025086105
WiiU,2013,21.84000013396144,81.86000025086105
WiiU,2014,22.510000068694353,81.86000025086105
WiiU,2015,16.38000000268221,81.86000025086105
WiiU,2016,3.2900000028312206,81.86000025086105
WS,2000,0.6799999922513962,0.9599999915808439
WS,2001,0.27999999932944775,0.9599999915808439
X360,2005,8.319999920204282,969.6100001167506
X360,2006,51.87999984063208,969.6100001167506
X360,2007,95.84000048972666,969.6100001167506
X360,2008,135.76000065542758,969.6100001167506
X360,2009,120.85000005364418,969.6100001167506
X360,2010,171.05000026151538,969.6100001167506
X360,2011,145.1200003810227,969.6100001167506
X360,2012,100.87999953702092,969.6100001167506
X360,2013,89.60999900661409,969.6100001167506
X360,2014,36.419999822974205,969.6100001167506
X360,2015,13.050000140443444,969.6100001167506
X360,2016,0.8300000075250864,969.6100001167506
XB,2000,0.9900000095367432,252.08999931067228
XB,2001,22.239999756217003,252.08999931067228
XB,2002,48.14999965764582,252.08999931067228
XB,2003,55.16000004671514,252.08999931067228
XB,2004,65.4999999217689,252.08999931067228
XB,2005,49.16999989748001,252.08999931067228
XB,2006,10.150000017136335,252.08999931067228
XB,2007,0.5499999970197678,252.08999931067228
XB,2008,0.18000000715255737,252.08999931067228
XOne,2013,18.600000005215406,141.06000107899308
XOne,2014,52.43000051565468,141.06000107899308
XOne,2015,57.660000594332814,141.06000107899308
XOne,2016,12.369999963790178,141.06000107899308
