"Platform","sum(Global_Sales)"
PS2,1233.4599968194962
X360,969.6100001167506
PS3,949.3499979004264
Wii,909.8099973648787
DS,818.6500011011958
GBA,313.55999945290387
PSP,291.70999942719936
PS4,278.069999711588
XB,252.08999931067228
"3DS",246.27999993413687
PC,205.00999963469803
GC,197.13999973796308
XOne,141.06000107899308
PS,140.53999988920987
WiiU,81.86000025086105
PSV,61.6099999435246
N64,37.34999951533973
GB,28.999999955296516
DC,7.409999970346689
WS,0.9599999915808439
